year,total_enrollment,school,pinellas_flag,percent_pre_kinder_ready,percent_passing_reading,percent_passing_math,percent_free_lunch,percent_black_enrollment,majority_free_lunch_flag,majority_black_enrollment_flag,district,FF_school_flag
2014,652,DUVAL CHARTER SCHOOL AT WESTSIDE             ,FALSE,86,47,38,0.461656442,0.496932515,FALSE,FALSE,DUVAL       ,FALSE
2014,775,GLOBAL LEARNING ACADEMY                      ,FALSE,60,39,46,0.921290323,0.79483871,TRUE,TRUE,ESCAMBIA    ,FALSE
2014,1290,RYMFIRE ELEMENTARY SCHOOL                    ,FALSE,77,66,60,0.668992248,0.180620155,TRUE,FALSE,FLAGLER     ,FALSE
2014,844,BLUE ANGELS ELEMENTARY SCHOOL                ,FALSE,83,70,59,0.402843602,0.142180095,FALSE,FALSE,ESCAMBIA    ,FALSE
2014,175,"PEMAYETV EMAHAKV CHARTER ""OUR WAY SCHOOL""    ",FALSE,50,59,82,0,0,FALSE,FALSE,GLADES      ,FALSE
2014,379,HILLTOP ELEMENTARY SCHOOL                    ,FALSE,44,64,83,0.844327177,0,TRUE,FALSE,HARDEE      ,FALSE
2014,626,N. B. COOK ELEMENTARY SCHOOL                 ,FALSE,86,81,73,0.260383387,0.177316294,FALSE,FALSE,ESCAMBIA    ,FALSE
2014,582,MEMORIAL ELEMENTARY SCHOOL                   ,FALSE,71,46,45,0.773195876,0.21858864,TRUE,FALSE,HIGHLANDS   ,FALSE
2014,716,BAILEY ELEMENTARY                            ,FALSE,59,54,54,0.655027933,0.051675978,TRUE,FALSE,HILLSBOROUGH,FALSE
2014,948,DEER PARK ELEMENTARY                         ,FALSE,92,83,82,0.193037975,0.04535865,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,723,HAMMOND ELEMENTARY SCHOOL                    ,FALSE,96,83,82,0.172890733,0,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,774,REDDICK ELEMENTARY SCHOOL                    ,FALSE,45,37,48,0.913436693,0.033591731,TRUE,FALSE,HILLSBOROUGH,FALSE
2014,239,MOSI PARTNERSHIP ELEMENTARY                  ,FALSE,66,46,61,0.912133891,0.506276151,TRUE,TRUE,HILLSBOROUGH,FALSE
2014,552,KIMBELL ELEMENTARY                           ,FALSE,50,31,27,0.927536232,0.665461121,TRUE,TRUE,HILLSBOROUGH,FALSE
2014,205,USF/PATEL PARTNERSHIP ELEMENTARY             ,FALSE,83,47,54,0.648780488,0.536585366,TRUE,TRUE,HILLSBOROUGH,FALSE
2014,579,ALAFIA ELEMENTARY SCHOOL                     ,FALSE,86,81,73,0.238341969,0.067357513,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,287,RIVERHILLS ELEMENTARY MAGNET SCHOOL          ,FALSE,87,60,42,0.644599303,0.390243902,TRUE,FALSE,HILLSBOROUGH,FALSE
2014,445,INDEPENDENCE ACADEMY ELEMENTARY SCHOOL       ,FALSE,81,66,58,0.260674157,0,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,123,COMMUNITY CHARTER SCHOOL OF EXCELLENCE       ,FALSE,71,43,25,0.821138211,0.504065041,TRUE,TRUE,HILLSBOROUGH,FALSE
2014,317,ADVANTAGE ACADEMY OF HILLSBOROUGH            ,FALSE,73,51,63,0.529968454,0.139318885,TRUE,FALSE,HILLSBOROUGH,FALSE
2014,646,VALRICO LAKE ADVANTAGE ACADEMY               ,FALSE,95,86,88,0.133126935,0.066563467,FALSE,FALSE,HILLSBOROUGH,FALSE
